sim,ind,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
base,CO2_ems,57100045.27,58732056.38,60996131.97,63155212.11,66223481.85,69423679.56,72761752.92,76243962.26,79876879.74,83668994.93,87624155.6,91751729.85,96059659.32,100556304.2
TumPriv-Dext,CO2_ems,57100045.27,58932848.33,61010129,63097126.79,66102345.67,69248636.13,72347543.87,75840876.5,79477933.38,83273619.59,87231955.66,91362465.73,95673230.69,100172741.1
TumPubDint,CO2_ems,57100045.27,58765049.11,60730154.82,62793189.45,65757756.31,68855653,72060255.66,75540605.25,79181230.42,82982150.8,86947189.43,91085712.13,95405651.65,99915360.29
TumPubImp,CO2_ems,57100045.27,58383754.7,60414208.98,62525292.29,65536009.87,68678645.98,72298736.11,75770178.57,79401558.29,83193476.91,87149834.04,91280032.51,95592043.67,100094250
base,Electricity-totalvdelec,4662.153153,4891.050693,5134.438867,5391.120576,5660.642485,5943.636003,6240.774873,6552.766559,6880.353931,7224.316961,7585.474869,7964.687633,8362.858328,8780.9352
TumPriv-Dext,Electricity-totalvdelec,4662.153153,4891.905358,5431.996909,5844.439305,6248.78925,6650.499908,7055.097583,7330.869485,7642.199518,7973.531168,8325.23183,8697.812245,9091.89951,9508.221505
TumPubDint,Electricity-totalvdelec,4662.153153,4891.883209,5402.974171,5727.106086,6068.448047,6427.144138,6802.773604,7128.590228,7456.148975,7799.522892,8159.571923,8537.195332,8933.331664,9348.96129
TumPubImp,Electricity-totalvdelec,4662.153153,4883.821037,5412.71383,5752.393939,6108.172626,6480.277334,6875.36276,7198.078687,7522.715511,7863.303594,8220.691589,8595.770156,8989.470625,9402.76733
base,Exports,105576846.9,110317799.7,115482616.8,120858820.9,126656134.8,132724075.8,139075634.4,145724418.8,152684699.6,159968814.1,167597942.9,175585629.7,183949063.1,192706156.2
TumPriv-Dext,Exports,105576846.9,108639498.7,113778508.7,119133969.4,124907171,130949968.9,138968259,145609643.4,152561891.6,159838353.4,167460226.8,175441023.3,183797928.5,192548860
TumPubDint,Exports,105576846.9,110507707.5,115340255.5,120382173.6,125844830.9,131578807.2,137406046.8,144088324,151083943,158403857.8,166069087.1,174093043.1,182492786.3,191286112.7
TumPubImp,Exports,105576846.9,110557317.5,115736678.9,121111437.7,126904117.2,132964297.2,139068128.8,145703541.6,152651925.8,159924813.9,167543472.4,175521504.6,183876155.2,192625384.7
base,FixInv,57305442.66,59765793.29,62532478.44,65400763.45,68652076.03,72061671.96,75637297.59,79387073.73,83319510.87,87443785.36,91768687.62,96304307.59,101060906.1,106049241.6
TumPriv-Dext,FixInv,57305442.66,63280173.87,66046859.02,68915144.04,72166456.61,75576052.54,75637297.59,79387073.73,83319510.87,87443785.36,91768687.62,96304307.59,101060906.1,106049241.6
TumPubDint,FixInv,57305442.66,59785554.46,62577585.3,65366773.53,68539608.74,71870982.39,75344740.99,79112615.55,83058337.63,87195317.04,91532274.27,96079236.87,100846410.2,105844504.1
TumPubImp,FixInv,57305442.66,63306083.03,66072768.19,68941053.2,72192365.78,75601961.71,75637297.59,79387073.73,83319510.87,87443785.36,91768687.62,96304307.59,101060906.1,106049241.6
base,f-lab-asal-tot,2.212104328,2.23380958,2.263991409,2.292499853,2.331103026,2.3705509,2.410863004,2.452058628,2.494156685,2.537197874,2.581152867,2.626065354,2.671953152,2.718834444
